;0;1;2;3;4;5
500;Activision Blizzard, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00507V109&m=970620&c=5646462;ATVI;03/06/2015;Annual;USA
501;Activision Blizzard, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00507V109&m=1057671&c=5646452;ATVI;02/06/2016;Annual;USA
502;Activision Blizzard, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00507V109&m=1142312&c=5646452;ATVI;01/06/2017;Annual;USA
503;Activision Blizzard, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00507V109&m=1236056&c=5646462;ATVI;26/06/2018;Annual;USA
504;Actuant Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508X203&m=842892&c=355082;ATU;14/01/2014;Annual;USA
505;Actuant Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508X203&m=932602&c=355082;ATU;21/01/2015;Annual;USA
506;Actuant Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508X203&m=1017818&c=5646452;ATU;19/01/2016;Annual;USA
507;Actuant Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508X203&m=1104154&c=5646452;ATU;17/01/2017;Annual;USA
508;Actuant Corporation;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508X203&m=1190401&c=5646452;ATU;23/01/2018;Annual;USA
509;Acucap Properties Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=S0033KAA4&m=821552&c=355082;ACP;28/08/2013;Annual;South Africa
510;Acucap Properties Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=S0033KAA4&m=867877&c=5437988;ACP;05/05/2014;Debenture Holder;South Africa
511;Acucap Properties Ltd;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=S0033KAA4&m=867876&c=5437988;ACP;05/05/2014;Special;South Africa
512;Acuity Brands, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508Y102&m=840692&c=355082;AYI;07/01/2014;Annual;USA
513;Acuity Brands, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508Y102&m=930678&c=355082;AYI;07/01/2015;Annual;USA
514;Acuity Brands, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508Y102&m=1015488&c=5646452;AYI;06/01/2016;Annual;USA
515;Acuity Brands, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508Y102&m=1101927&c=5646542;AYI;06/01/2017;Annual;USA
516;Acuity Brands, Inc.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=00508Y102&m=1188296&c=5646462;AYI;05/01/2018;Annual;USA
517;Acxiom Corp.;/en/the-fund/responsible-investment/our-voting-records/meeting/?s=005125109&m=1262561&c=5646452;ACXM;20/09/2018;Annual;USA
